Commune,Latitude,Longitude,Square,Population,Density,Housing price,Total company
Loc Tho,12.243585,109.194648,1.4,12802,9144,262.1,3501
Ngoc Hiep,12.255411,109.173086,3.62,11887,3284,34.9,670
Phuoc Dong,12.1898573,109.167085,56.65,19095,337,29.8,986
Phuoc Hai,12.2407682,109.1815852,2.56,15370,6004,34.4,2001
Phuoc Hoa,12.236575,109.184778,1.01,12657,12532,91.4,1178
Phuoc Long,12.212176,109.194663,4.27,17101,4005,49.5,2353
Phuoc Tan,12.2467998,109.188338,0.47,13765,29287,47.3,810
Phuoc Tien,12.241277,109.186169,0.28,9934,35479,113.9,1234
Phuong Sai,12.250147,109.185822,0.38,11890,31289,165.8,1046
Phuong Son,12.250533,109.178639,0.46,10039,21824,24.8,551
Tan Lap,12.243874,109.192813,0.62,14280,23032,114.7,2058
Van Thanh,12.25266,109.191383,0.39,11944,30626,82.2,971
Van Thang,12.2519072,109.1887248,0.37,10524,28443,109.1,699
Vinh Hai,12.281106,109.194187,4.48,13933,3110,40.8,1749
Vinh Hiep,12.2549988,109.1605505,2.66,6019,2263,30.0,1358
Vinh Hoa,12.289147,109.204927,11.56,9369,810,39.5,1475
Vinh Luong,12.3374149,109.1964923,47.05,12780,272,5.5,230
Vinh Ngoc,12.267589,109.162561,8.53,10125,1187,29.0,789
Vinh Nguyen,12.21279,109.211532,42.62,17969,422,45.2,1250
Vinh Phuoc,12.269764,109.197395,1.7,24445,14379,46.5,1075
Vinh Phuong,12.273159,109.146709,32.44,9539,294,10.2,387
Vinh Thai,12.2401186,109.1628073,15.34,6534,426,37.2,526
Vinh Thanh,12.25853,109.149075,0.82,12246,14934,17.7,686
Vinh Tho,12.264854,109.197356,0.67,16514,24648,67.5,345
Vinh Trung,12.256085,109.133644,8.73,6725,770,17.9,261
Vinh Truong,12.206845,109.202583,1.34,13760,10269,49.2,496
Xuong Huan,12.255899,109.1952817,0.64,13353,20864,150.3,772
